example_id                                                               | status  | run_time        |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:6:1:2]         | passed  | 0.37143 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:6:2:1]         | passed  | 0.3747 seconds  |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:6:3:1]         | passed  | 0.35622 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:6:3:2]         | passed  | 0.3544 seconds  |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:7:1]           | passed  | 0.349 seconds   |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:7:2]           | passed  | 0.3556 seconds  |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:8:1]           | passed  | 0.34583 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:8:2]           | passed  | 0.34617 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:9:1]           | passed  | 0.87227 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:10:1]          | passed  | 0.3463 seconds  |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:11:1:1]        | passed  | 0.34934 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:11:1:2]        | passed  | 0.35206 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:11:1:3]        | passed  | 0.35083 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:11:2:1]        | passed  | 0.34687 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:1:1]        | passed  | 0.51728 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:1:2]        | passed  | 0.51233 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:2:1]        | passed  | 0.34655 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:3:1]        | passed  | 0.5065 seconds  |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:4:1:1]      | passed  | 0.87844 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:4:1:2]      | passed  | 0.70397 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:4:2:1]      | passed  | 0.70146 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:4:3:1]      | passed  | 0.67381 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:5:1]        | passed  | 0.53296 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:5:2]        | passed  | 0.52739 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:6:1]        | passed  | 0.52707 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:6:2]        | passed  | 0.58291 seconds |
./spec/controllers/bulkrax/importers_controller_spec.rb[1:12:6:3:1]      | passed  | 0.54203 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:1:1]   | passed  | 0.00795 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:1:2]   | passed  | 0.01194 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:2:1]   | passed  | 0.00798 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:3:1]   | passed  | 0.00993 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:4:1]   | passed  | 0.00977 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:4:2]   | passed  | 0.00927 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:5:1]   | passed  | 0.00773 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:5:2]   | passed  | 0.00744 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:6:1]   | passed  | 0.1995 seconds  |
