file,identifier,identifier.ark,title,description,creator,contributor,date,date.other,format.extent,type,subject,language,source,relation.isPartOf,rights,coverage.spatial,publisher
,"P007204","P007204","Village on a hillside in Tatsienlu, 1930s","Written on back:","Andrews, John Nevins 1891-1980",,"1930","1930","Photograph: b&w 7.7x10 cm","Image","Andrews, John Nevins 1891-1980",,"Center for Adventist Research","Center for Adventist Research Photograph Collection","http://rightsstatements.org/vocab/NoC-US/1.0/",,
,,,,,,,,,,,,,,,,,
